,title,moreInfo,systems,genres,playModes,themes,series,playerPerspectives,imageLink,memberRating,gameDescription
767,Frogger's Journey: The Forgotten Relic,https://www.igdb.com/games/froggers-journey-the-forgotten-relic,Fifth Generation,Platform,,Action,Frogger,,https://images.igdb.com/igdb/image/upload/t_cover_big/zgbbuozzwvsetydrgrbd.jpg,55,"In Frogger's Adventure: Forgotten Relic, join Frogger on a fun-filled journey as he travels across diverse worlds, searches for clues and avoids fierce foes. Featuring Frogger's Famous ""hop-and-dodge"" style gameplay, this game is designed to please players of all ages. There are also some elements that increase the replay of Frogger's Journey: The Forgotten Relic, like the Castlevania: Harmony of Dissonance inspired furniture collection and the multiple paths unlocked by using the increasing abilities of Frogger. The game features almost 20 different levels and RPG-inspired gameplay on top of the classic Frogger formula."
768,Frogger: Ancient Shadow,https://www.igdb.com/games/frogger-ancient-shadow,Sixth Generation,Platform,Single player - Split screen,Action,Frogger,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1ovd.jpg,72,"Frogger is Back to His Classic Beginnings. His home of Firefly Swamp is being overrun by Dr. Wani and his evil plans. Join Frogger in his latest adventure as he explores seven different worlds and tries to restore order to his beloved swamp. Features classic, addictive ""hop and dodge"" gameplay. Mini games with up to 4 players on all platforms. Over 30 levels of play. Wide range of character moves, such as the double jump, tongue grab, and more. Special bonus - orignial 1981 Frogger arcade game included on all platforms."
769,From Dust,https://www.igdb.com/games/from-dust,Seventh Generation,Adventure - Simulator - Strategy,Single player,Fantasy - Open world - Sandbox,,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co2i9a.jpg,80,"A Modern God Game Where Nature is the StarFrom Dust is the latest original video game concept by Eric Chahi, creator of the cult classic, Another World.Immerse yourself in a world as exotically beautiful as it is dangerous.You control the destiny of a primitive tribe against the backdrop of a world in constant evolution, a universe where mighty Nature reclaims what is hers and your mastery of the elements is your people’s only chance of survival. "
770,Front Mission 4,https://www.igdb.com/games/front-mission-4,Sixth Generation,Role-playing (RPG) - Strategy - Tactical,,Science fiction,Front Mission,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1ove.jpg,73,"In the year 2096, the Wanzer (""Walking Tanks"" mecha) form the backbone of many military forces. The European Community is enjoying a period of relative peace when it is surprised by sudden attacks on German bases from a mysterious force. To investigate, it is decided to send the EC Armor Tactics Research Corps, also known as ""Durandal"". Inside the Durandal, a young new recruit, Elsa soon finds herself caught in an international plot. Meanwhile, the nation of Venezuela, is attempting to secede from the Unified Continental States (U.C.S.). UCS Forces are sent in to restore order and dispose of Governor Diaz. During a routine patrol, Sgt. Darril and his patrol witness a cargo plane being shot down. Heading to investigate, they soon discover it was a plane carrying part of Diaz's gold. For demoralized UCS soldiers like Darril, this smells like opportunity. Front Mission 4 is a turn based strategy game where the plot switches between two different theaters of operation: Elsa and Darril. Controlling the wanzer forces of either character, the story progresses simultaneously. Most battles take place on an overhead map divided into a Player phase and an Enemy phase. Typically a wanzer can move once and use his remaining Action Points (AP) to fire on the enemy or use an ability. Success in battle earns Experience Points, which are traded in for new abilities, such as Rapid Fire or Evasion bonuses. Each character has a set limit of Skill slots, which are filled up differently by abilities. While each character starts with a preference in skills, there is no limitation on what any pilot can learn. Money, found during on the map (along with items) or earned after a successful battle, can be used to upgrade wanzers and purchase new weapons."
771,Frontlines: Fuel of War,https://www.igdb.com/games/frontlines-fuel-of-war,Seventh Generation,Shooter,Co-operative - Multiplayer - Single player,Action - Science fiction,,First person,https://images.igdb.com/igdb/image/upload/t_cover_big/blrutuzyycrhiyu4db5t.jpg,76,"When the oil fields go dry, the war begins. In this first person shooter, you must use every gun, drone, and vehicle at your disposal to hold the line."
772,Frozen Synapse Prime,https://www.igdb.com/games/frozen-synapse-prime,Seventh Generation,Shooter - Simulator - Strategy - Tactical - Turn-based strategy (TBS),Multiplayer - Single player,Science fiction,Frozen Synapse,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co216u.jpg,70,"Take on the role of Tactics in a brand new Frozen Synapse experience. Lead a rebel faction to overthrow a powerful corporation controlling the city of Markov Geist.Control an elite strike team of futuristic soldiers - From shotgunners and snipers, to grenadiers and machine-gunners in the ultimate turn-based strategy game. Plot paths and issue orders to your units, test your plans and predict your opponent in each turn. Combat plays out on procedural, 3D, destructible and customizable battlefields.Play online to become the ultimate tactician – Synchronous play allows you to battle against players live. Asynchronous multiplayer enables you to compete in multiple games simultaneously."
773,Fru,https://www.igdb.com/games/fru,Eighth Generation,Platform - Puzzle,Co-operative - Multiplayer - Single player,,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1i1o.jpg,90,"FRU is a puzzle platformer that features an innovative use of Kinect, in which your silhouette becomes a ""portal"" between two worlds.You will find yourself solving puzzles by strategically positioning your body, combining physical interaction with traditional platforming.The game features four completely different chapters, all based around our innovative use of the silhouette, with a unique twist to each one of them.In addition to moving and balancing your body to solve levels, you’ll also find yourself swimming inside your silhouette, striking crazy poses to activate contraptions, and awkwardly tiptoeing to avoid dangerous hazards!"
774,Fruit Ninja Kinect 2,https://www.igdb.com/games/fruit-ninja-kinect-2,Eighth Generation,,Co-operative - Multiplayer,Action,Fruit Ninja,,https://images.igdb.com/igdb/image/upload/t_cover_big/co22uj.jpg,65,The sequel to Fruit Ninja Kinect.
775,Fuel,https://www.igdb.com/games/fuel,Seventh Generation,Racing,Multiplayer - Single player,Action - Open world,Buzz!,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co2hkt.jpg,76,"In an alternate present, vast swathes of America have become no-go areas as the devastating effects of global warming ravage the continent. Floods, storms, bush-fires, tornadoes and hurricanes have driven people from towns and cities into safe zones as extreme weather wreaks havoc, creating thousands of square miles of dangerous uninhabitable areas. People turn to renewable energy in the face of the destruction caused by global warming. But these danger zones become a playground for a new breed of racer. With a stockpile of fuel to be burned, adrenaline junkies head into the wilderness to compete against each other in spectacular races against themselves and the elements."
776,Full Auto 2: Battlelines,https://www.igdb.com/games/full-auto-2-battlelines,Fifth Generation,Fighting - Racing,Multiplayer - Single player - Split screen,Action,Full Auto,,https://images.igdb.com/igdb/image/upload/t_cover_big/c0omnyagzis7igvgmhhb.jpg,64,"The sequel to the 360 exclusive was, in fact PS3 exclusive."
777,Full Metal Furies,https://www.igdb.com/games/full-metal-furies,Eighth Generation,Adventure - Hack and slash/Beat 'em up - Indie - Role-playing (RPG),Co-operative - Multiplayer - Single player,Action,,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co1r22.jpg,86,"Defend the free world from tyrannical titans in FULL METAL FURIES – a team-based brawler where cooperation is the key to victory. An abstruse allegorical action adventure about atonement, allusions, and alliteration awaits all at an alternate age around Athens’ ashes. FULL METAL FURIES will challenge you to think like a team, and to rethink what a brawler could be."
